Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 6),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 6),Unit Price (@ Batch Size: 6),Unit Price (@ Batch Size: 6),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Custom],SKU [Custom],Packaging [Custom],Unit Price (@ Batch Size: 6) [Custom],Line Total [Custom],Batch Total [Custom],In Stock [Custom],MOQ [Custom],URL [Custom],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
1,TAJC107K010RNJ,AVX,TAJC107K010RNJ,https://octopart.com/tajc107k010rnj-avx-9079201,C2,,Cap Tant Solid 100uF 10V C CASE 10% (6 X 3.2 X 2.6mm) Inward L SMD 6032-28 1.2 Ohm 125C T/R,6,478-1704-1-ND,TAJC107K010RNJ,60R5934,Cut Tape,,Cut Tape,1.15,1.06,0.158,7668,31636,0,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a9599c&sid=459&ppid=9079201&vpid=34024219&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=05faa1c&sid=2401&ppid=9079201&vpid=37714997&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=04ece81&sid=2402&ppid=9079201&vpid=21484059&ct=offers,Digi-Key,478-1704-1-ND,Cut Tape,1.15,1.15,6.8999999999999995,7668,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0a9599c&sid=459&ppid=9079201&vpid=34024219&ct=offers,
1,GRM21BR61C106KE15L,Murata,GRM21BR61C106KE15L,https://octopart.com/grm21br61c106ke15l-murata-197438,C4,,Cap Ceramic 10uF 16V X5R 10% SMD 0805 85C Embossed Cap Ceramic 10uF 16V X5R 10% SMD 0805 85C Embossed,6,490-3886-1-ND,GRM21BR61C106KE15L,35R0687,Cut Tape,,Cut Tape,0.21,0.3,0.3,47430,0,3230,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d5de69&sid=459&ppid=197438&vpid=1827596&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0187e19&sid=2401&ppid=197438&vpid=38925211&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0842051&sid=2402&ppid=197438&vpid=20869766&ct=offers,Digi-Key,490-3886-1-ND,Cut Tape,0.21,0.21,1.26,47430,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d5de69&sid=459&ppid=197438&vpid=1827596&ct=offers,
1,LS L29K-G1J2-1-Z,Osram Opto,LS L29K-G1J2-1-Z,https://octopart.com/ls+l29k-g1j2-1-z-osram+opto-31093939,D1,,LED Uni-Color Red 643nm Automotive 2-Pin SMD T/R,6,475-2506-1-ND,LS L29K-G1J2-1-Z,,Cut Tape,,,0.45,0.4,,3,0,,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00b25e9&sid=459&ppid=31093939&vpid=90899303&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=02ede14&sid=2401&ppid=31093939&vpid=90919820&ct=offers,,Digi-Key,475-2506-1-ND,Cut Tape,0.45,0.45,2.7,3,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=00b25e9&sid=459&ppid=31093939&vpid=90899303&ct=offers,
3,RC0603FR-0710KL,Yageo,RC0603FR-0710KL,https://octopart.com/rc0603fr-0710kl-yageo-40025538,"R1, R2, R3",,Res Thick Film 1.6 x 0.8 mm 10K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,18,311-10.0KHRCT-ND,RC0603FR-0710KL,68X3181,Cut Tape,,,0.015,0.009,0.002,48344390,72523,0,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0830c62&sid=2401&ppid=40025538&vpid=115161137&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=0c31f39&sid=2402&ppid=40025538&vpid=174036072&ct=offers,Digi-Key,311-10.0KHRCT-ND,Cut Tape,0.015,0.045,0.27,48344390,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03bdc7a&sid=459&ppid=40025538&vpid=114982759&ct=offers,
1,RC0603FR-071K5L,Yageo,RC0603FR-071K5L,https://octopart.com/rc0603fr-071k5l-yageo-55458478,R5,,Res Thick Film 1.6 x 0.8 mm 1.5K Ohm 1% 0.1W(1/10W) 100ppm/ C Molded SMD Paper T/R,6,311-1.50KHRCT-ND,RC0603FR-071K5L,68R0045,Cut Tape,,Cut Tape,0.1,0.1,0.08,1959508,466465,11924,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b06e3b&sid=459&ppid=55458478&vpid=188128903&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0d51136&sid=2401&ppid=55458478&vpid=187885223&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=03245f5&sid=2402&ppid=55458478&vpid=190899750&ct=offers,Digi-Key,311-1.50KHRCT-ND,Cut Tape,0.1,0.1,0.6000000000000001,1959508,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0b06e3b&sid=459&ppid=55458478&vpid=188128903&ct=offers,
1,B3F-1000,Omron,B3F-1000,https://octopart.com/b3f-1000-omron-3117,"S1, S2, S3",,"Switch,FLUX TIGHT MECHANICAL KEYSwitch,,50MA@24VDC,NO GROUND TERM., FLAT PLUNG",6,SW400-ND,B3F-1000,07WX8714,Bulk,,,0.35,0.25,0.25,23406,15030,34192,1,,5,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08baac9&sid=459&ppid=3117&vpid=188052931&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08ac01c&sid=2401&ppid=3117&vpid=37856404&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0463297&sid=2402&ppid=3117&vpid=179180453&ct=offers,Digi-Key,SW400-ND,Bulk,0.35,0.35,2.0999999999999996,23406,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08baac9&sid=459&ppid=3117&vpid=188052931&ct=offers,
1,AYZ0202AGRLC,C&K Components,AYZ0202AGRLC,https://octopart.com/ayz0202agrlc-c%26k+components-10518671,SW1,,,6,401-2013-1-ND,AYZ0202AGRLC,95W3020,Cut Tape,,,1.43,1.22,0.935,31103,6205,1021,1,,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01917e6&sid=459&ppid=10518671&vpid=34441093&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0197991&sid=2401&ppid=10518671&vpid=37852035&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0eb3230&sid=2402&ppid=10518671&vpid=90267596&ct=offers,Digi-Key,401-2013-1-ND,Cut Tape,1.43,1.43,8.58,31103,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=01917e6&sid=459&ppid=10518671&vpid=34441093&ct=offers,
1,CR0603-FX-4701ELF,Bourns,CR0603-FX-4701ELF,https://octopart.com/cr0603-fx-4701elf-bourns-3867100,R4,,Res Thick Film 0603 4.7K Ohm 1% 1/10W Â±100ppm/Â°C Molded SMD SMD Paper Tape on Plastic Reel,6,CR0603-FX-4701ELFCT-ND,CR0603-FX-4701ELF,12AC0503,Cut Tape,,,0.1,0.1,0.006,87770,8633,0,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fa5cab&sid=459&ppid=3867100&vpid=58963546&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=08fa003&sid=2401&ppid=3867100&vpid=37692147&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=06ca59d&sid=2402&ppid=3867100&vpid=423867050&ct=offers,Digi-Key,CR0603-FX-4701ELFCT-ND,Cut Tape,0.1,0.1,0.6000000000000001,87770,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0fa5cab&sid=459&ppid=3867100&vpid=58963546&ct=offers,
2,06035C104KAZ2A,AVX,06035C104KAZ2A,https://octopart.com/06035c104kaz2a-avx-40099263,"C1, C3",,Cap Ceramic 0.1uF 50V X7R 10% SMD 1.6 x 0.8 mm FlexiTerm 125 C Paper T/R,12,478-3540-1-ND,06035C104KAZ2A,26M5127,Cut Tape,,,0.083,0.129,0.083,814963,0,0,1,,,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e6c572&sid=459&ppid=40099263&vpid=114944936&ct=offers,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0ccea32&sid=2401&ppid=40099263&vpid=120107804&ct=offers,https://octopart.com/click/track?c=1&country=US&ak=68b25f31&sig=027a253&sid=2402&ppid=40099263&vpid=440992446&ct=offers,Digi-Key,478-3540-1-ND,Cut Tape,0.083,0.166,0.996,814963,1,https://octopart.com/click/track?country=US&ak=68b25f31&sig=0e6c572&sid=459&ppid=40099263&vpid=114944936&ct=offers,
